Month;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
24;-0.6187;16.0189;0.07785;12.8;13.5;13.9;14.2;14.5;14.8;15.2;16;16.9;17.4;17.8;18.3;18.7;19.4;20.8
25;-0.584;15.98;0.07792;12.8;13.5;13.9;14.1;14.5;14.8;15.2;16;16.9;17.4;17.7;18.3;18.6;19.4;20.7
26;-0.5497;15.9414;0.078;12.7;13.4;13.8;14.1;14.5;14.7;15.1;15.9;16.8;17.3;17.7;18.2;18.6;19.3;20.6
27;-0.5166;15.9036;0.07808;12.7;13.4;13.8;14;14.4;14.7;15.1;15.9;16.8;17.3;17.6;18.2;18.5;19.2;20.6
28;-0.485;15.8667;0.07818;12.6;13.3;13.8;14;14.4;14.7;15.1;15.9;16.7;17.2;17.6;18.1;18.5;19.2;20.5
29;-0.4552;15.8306;0.07829;12.6;13.3;13.7;14;14.4;14.6;15;15.8;16.7;17.2;17.5;18.1;18.4;19.1;20.5
30;-0.4274;15.7953;0.07841;12.5;13.3;13.7;13.9;14.3;14.6;15;15.8;16.7;17.2;17.5;18;18.4;19.1;20.4
31;-0.4016;15.7606;0.07854;12.5;13.2;13.7;13.9;14.3;14.5;15;15.8;16.6;17.1;17.5;18;18.4;19.1;20.3
32;-0.3782;15.7267;0.07867;12.5;13.2;13.6;13.9;14.2;14.5;14.9;15.7;16.6;17.1;17.4;18;18.3;19;20.3
33;-0.3572;15.6934;0.07882;12.4;13.1;13.6;13.8;14.2;14.5;14.9;15.7;16.6;17;17.4;17.9;18.3;19;20.2
34;-0.3388;15.661;0.07897;12.4;13.1;13.5;13.8;14.2;14.4;14.9;15.7;16.5;17;17.4;17.9;18.2;18.9;20.2
35;-0.3231;15.6294;0.07914;12.4;13.1;13.5;13.8;14.1;14.4;14.8;15.6;16.5;17;17.3;17.9;18.2;18.9;20.2
36;-0.3101;15.5988;0.07931;12.3;13;13.5;13.7;14.1;14.4;14.8;15.6;16.5;17;17.3;17.8;18.2;18.9;20.1
37;-0.3;15.5693;0.0795;12.3;13;13.5;13.7;14.1;14.4;14.8;15.6;16.4;16.9;17.3;17.8;18.1;18.8;20.1
38;-0.2927;15.541;0.07969;12.3;13;13.4;13.7;14.1;14.3;14.7;15.5;16.4;16.9;17.2;17.8;18.1;18.8;20.1
39;-0.2884;15.514;0.0799;12.2;12.9;13.4;13.6;14;14.3;14.7;15.5;16.4;16.9;17.2;17.7;18.1;18.8;20
40;-0.2869;15.4885;0.08012;12.2;12.9;13.4;13.6;14;14.3;14.7;15.5;16.4;16.8;17.2;17.7;18.1;18.8;20
41;-0.2881;15.4645;0.08036;12.2;12.9;13.3;13.6;14;14.2;14.7;15.5;16.3;16.8;17.2;17.7;18;18.7;20
42;-0.2919;15.442;0.08061;12.1;12.9;13.3;13.6;13.9;14.2;14.6;15.4;16.3;16.8;17.1;17.7;18;18.7;20
43;-0.2981;15.421;0.08087;12.1;12.8;13.3;13.5;13.9;14.2;14.6;15.4;16.3;16.8;17.1;17.7;18;18.7;20
44;-0.3067;15.4013;0.08115;12.1;12.8;13.3;13.5;13.9;14.2;14.6;15.4;16.3;16.8;17.1;17.7;18;18.7;20
45;-0.3174;15.3827;0.08144;12.1;12.8;13.2;13.5;13.9;14.2;14.6;15.4;16.3;16.8;17.1;17.6;18;18.7;20
46;-0.3303;15.3652;0.08174;12.1;12.8;13.2;13.5;13.9;14.1;14.5;15.4;16.2;16.7;17.1;17.6;18;18.7;20
47;-0.3452;15.3485;0.08205;12;12.8;13.2;13.5;13.8;14.1;14.5;15.3;16.2;16.7;17.1;17.6;18;18.7;20
48;-0.3622;15.3326;0.08238;12;12.7;13.2;13.4;13.8;14.1;14.5;15.3;16.2;16.7;17.1;17.6;18;18.7;20
49;-0.3811;15.3174;0.08272;12;12.7;13.2;13.4;13.8;14.1;14.5;15.3;16.2;16.7;17.1;17.6;18;18.7;20
50;-0.4019;15.3029;0.08307;12;12.7;13.2;13.4;13.8;14.1;14.5;15.3;16.2;16.7;17.1;17.6;18;18.7;20.1
51;-0.4245;15.2891;0.08343;12;12.7;13.1;13.4;13.8;14;14.5;15.3;16.2;16.7;17.1;17.6;18;18.7;20.1
52;-0.4488;15.2759;0.0838;12;12.7;13.1;13.4;13.8;14;14.4;15.3;16.2;16.7;17.1;17.6;18;18.7;20.1
53;-0.4747;15.2633;0.08418;11.9;12.7;13.1;13.3;13.7;14;14.4;15.3;16.2;16.7;17.1;17.6;18;18.7;20.1
54;-0.5019;15.2514;0.08457;11.9;12.6;13.1;13.3;13.7;14;14.4;15.3;16.2;16.7;17;17.6;18;18.8;20.2
55;-0.5303;15.24;0.08496;11.9;12.6;13.1;13.3;13.7;14;14.4;15.2;16.2;16.7;17;17.6;18;18.8;20.2
56;-0.5599;15.2291;0.08536;11.9;12.6;13.1;13.3;13.7;14;14.4;15.2;16.1;16.7;17;17.6;18;18.8;20.3
57;-0.5905;15.2188;0.08577;11.9;12.6;13;13.3;13.7;14;14.4;15.2;16.1;16.7;17.1;17.6;18;18.8;20.3
58;-0.6223;15.2091;0.08617;11.9;12.6;13;13.3;13.7;13.9;14.4;15.2;16.1;16.7;17.1;17.6;18;18.8;20.3
59;-0.6552;15.2;0.08659;11.9;12.6;13;13.3;13.7;13.9;14.4;15.2;16.1;16.7;17.1;17.7;18.1;18.9;20.4
60;-0.6892;15.1916;0.087;11.9;12.6;13;13.3;13.6;13.9;14.3;15.2;16.1;16.7;17.1;17.7;18.1;18.9;20.5
