Month;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
24;-0.5684;15.6881;0.08454;12.3;13;13.5;13.7;14.1;14.4;14.8;15.7;16.6;17.2;17.5;18.1;18.5;19.3;20.8
25;-0.5684;15.659;0.08452;12.3;13;13.4;13.7;14.1;14.4;14.8;15.7;16.6;17.1;17.5;18.1;18.5;19.3;20.8
26;-0.5684;15.6308;0.08449;12.3;13;13.4;13.7;14.1;14.4;14.8;15.6;16.6;17.1;17.5;18.1;18.5;19.3;20.7
27;-0.5684;15.6037;0.08446;12.2;13;13.4;13.7;14;14.3;14.8;15.6;16.5;17.1;17.4;18;18.4;19.2;20.7
28;-0.5684;15.5777;0.08444;12.2;12.9;13.4;13.6;14;14.3;14.7;15.6;16.5;17;17.4;18;18.4;19.2;20.7
29;-0.5684;15.5523;0.08443;12.2;12.9;13.4;13.6;14;14.3;14.7;15.6;16.5;17;17.4;18;18.4;19.2;20.6
30;-0.5684;15.5276;0.08444;12.2;12.9;13.3;13.6;14;14.3;14.7;15.5;16.5;17;17.4;17.9;18.3;19.1;20.6
31;-0.5684;15.5034;0.08448;12.2;12.9;13.3;13.6;14;14.2;14.7;15.5;16.4;17;17.3;17.9;18.3;19.1;20.6
32;-0.5684;15.4798;0.08455;12.1;12.8;13.3;13.5;13.9;14.2;14.6;15.5;16.4;16.9;17.3;17.9;18.3;19.1;20.5
33;-0.5684;15.4572;0.08467;12.1;12.8;13.3;13.5;13.9;14.2;14.6;15.5;16.4;16.9;17.3;17.9;18.3;19;20.5
34;-0.5684;15.4356;0.08484;12.1;12.8;13.2;13.5;13.9;14.2;14.6;15.4;16.4;16.9;17.3;17.9;18.2;19;20.5
35;-0.5684;15.4155;0.08506;12.1;12.8;13.2;13.5;13.9;14.1;14.6;15.4;16.3;16.9;17.3;17.8;18.2;19;20.5
36;-0.5684;15.3968;0.08535;12;12.8;13.2;13.5;13.8;14.1;14.5;15.4;16.3;16.9;17.2;17.8;18.2;19;20.5
37;-0.5684;15.3796;0.08569;12;12.7;13.2;13.4;13.8;14.1;14.5;15.4;16.3;16.8;17.2;17.8;18.2;19;20.5
38;-0.5684;15.3638;0.08609;12;12.7;13.2;13.4;13.8;14.1;14.5;15.4;16.3;16.8;17.2;17.8;18.2;19;20.5
39;-0.5684;15.3493;0.08654;12;12.7;13.1;13.4;13.8;14.1;14.5;15.3;16.3;16.8;17.2;17.8;18.2;19;20.5
40;-0.5684;15.3358;0.08704;11.9;12.7;13.1;13.4;13.8;14;14.5;15.3;16.3;16.8;17.2;17.8;18.2;19;20.5
41;-0.5684;15.3233;0.08757;11.9;12.6;13.1;13.3;13.7;14;14.5;15.3;16.3;16.8;17.2;17.8;18.2;19;20.6
42;-0.5684;15.3116;0.08813;11.9;12.6;13.1;13.3;13.7;14;14.4;15.3;16.3;16.8;17.2;17.8;18.2;19;20.6
43;-0.5684;15.3007;0.08872;11.9;12.6;13;13.3;13.7;14;14.4;15.3;16.3;16.8;17.2;17.8;18.2;19.1;20.6
44;-0.5684;15.2905;0.08931;11.8;12.6;13;13.3;13.7;14;14.4;15.3;16.3;16.8;17.2;17.8;18.2;19.1;20.6
45;-0.5684;15.2814;0.08991;11.8;12.5;13;13.3;13.7;14;14.4;15.3;16.3;16.8;17.2;17.8;18.3;19.1;20.7
46;-0.5684;15.2732;0.09051;11.8;12.5;13;13.2;13.7;13.9;14.4;15.3;16.3;16.8;17.2;17.8;18.3;19.1;20.7
47;-0.5684;15.2661;0.0911;11.8;12.5;13;13.2;13.6;13.9;14.4;15.3;16.3;16.8;17.2;17.9;18.3;19.1;20.7
48;-0.5684;15.2602;0.09168;11.7;12.5;12.9;13.2;13.6;13.9;14.4;15.3;16.3;16.8;17.2;17.9;18.3;19.2;20.8
49;-0.5684;15.2556;0.09227;11.7;12.5;12.9;13.2;13.6;13.9;14.4;15.3;16.3;16.8;17.2;17.9;18.3;19.2;20.8
50;-0.5684;15.2523;0.09286;11.7;12.4;12.9;13.2;13.6;13.9;14.3;15.3;16.3;16.8;17.3;17.9;18.3;19.2;20.9
51;-0.5684;15.2503;0.09345;11.7;12.4;12.9;13.2;13.6;13.9;14.3;15.3;16.3;16.8;17.3;17.9;18.4;19.2;20.9
52;-0.5684;15.2496;0.09403;11.7;12.4;12.9;13.1;13.6;13.9;14.3;15.2;16.3;16.9;17.3;17.9;18.4;19.3;21
53;-0.5684;15.2502;0.0946;11.6;12.4;12.9;13.1;13.6;13.9;14.3;15.3;16.3;16.9;17.3;17.9;18.4;19.3;21
54;-0.5684;15.2519;0.09515;11.6;12.4;12.9;13.1;13.6;13.9;14.3;15.3;16.3;16.9;17.3;18;18.4;19.3;21
55;-0.5684;15.2544;0.09568;11.6;12.4;12.9;13.1;13.5;13.9;14.3;15.3;16.3;16.9;17.3;18;18.4;19.4;21.1
56;-0.5684;15.2575;0.09618;11.6;12.4;12.8;13.1;13.5;13.8;14.3;15.3;16.3;16.9;17.3;18;18.5;19.4;21.1
57;-0.5684;15.2612;0.09665;11.6;12.4;12.8;13.1;13.5;13.8;14.3;15.3;16.3;16.9;17.4;18;18.5;19.4;21.2
58;-0.5684;15.2653;0.09709;11.6;12.3;12.8;13.1;13.5;13.8;14.3;15.3;16.3;16.9;17.4;18;18.5;19.4;21.2
59;-0.5684;15.2698;0.0975;11.6;12.3;12.8;13.1;13.5;13.8;14.3;15.3;16.3;16.9;17.4;18.1;18.5;19.5;21.3
