Week	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	-0.0631	13.3363	0.09272	10	10.8	11.2	11.5	11.8	12.1	12.5	13.3	14.2	14.7	15	15.5	15.9	16.6	17.8
1	0.6319	13.2113	0.09887	9.4	10.3	10.8	11.1	11.6	11.9	12.3	13.2	14.1	14.6	14.9	15.4	15.8	16.4	17.5
2	0.5082	13.4501	0.09741	9.7	10.6	11.1	11.4	11.8	12.1	12.6	13.5	14.3	14.8	15.2	15.7	16	16.7	17.8
3	0.4263	13.9505	0.09647	10.1	11	11.5	11.8	12.3	12.6	13.1	14	14.9	15.4	15.7	16.3	16.6	17.3	18.5
4	0.3637	14.4208	0.09577	10.5	11.4	12	12.3	12.7	13	13.5	14.4	15.4	15.9	16.3	16.8	17.2	17.9	19.1
5	0.3124	14.8157	0.0952	10.9	11.8	12.3	12.6	13.1	13.4	13.9	14.8	15.8	16.3	16.7	17.3	17.6	18.4	19.6
6	0.2688	15.138	0.09472	11.2	12.1	12.6	12.9	13.4	13.7	14.2	15.1	16.1	16.7	17.1	17.6	18	18.8	20.1
7	0.2306	15.4063	0.09431	11.4	12.3	12.9	13.2	13.6	14	14.4	15.4	16.4	17	17.4	17.9	18.3	19.1	20.4
8	0.1966	15.6311	0.09394	11.6	12.5	13.1	13.4	13.8	14.2	14.7	15.6	16.6	17.2	17.6	18.2	18.6	19.4	20.7
9	0.1658	15.8232	0.09361	11.8	12.7	13.2	13.5	14	14.3	14.9	15.8	16.8	17.4	17.8	18.4	18.8	19.6	21
10	0.1377	15.9874	0.09332	11.9	12.8	13.4	13.7	14.2	14.5	15	16	17	17.6	18	18.6	19	19.8	21.2
11	0.1118	16.1277	0.09304	12	13	13.5	13.8	14.3	14.6	15.1	16.1	17.2	17.8	18.2	18.8	19.2	20	21.4
12	0.0877	16.2485	0.09279	12.2	13.1	13.6	13.9	14.4	14.8	15.3	16.2	17.3	17.9	18.3	18.9	19.3	20.1	21.6
13	0.0652	16.3531	0.09255	12.3	13.2	13.7	14	14.5	14.9	15.4	16.4	17.4	18	18.4	19	19.4	20.3	21.7
