Idade(meses);n;Média;DP;L;M;S;3.00%;10.00%;25.00%;50.00%;75.00%;90.00%;97.00%
0;171;46.82;2.27;1;48.3651;0.052;42.91;44.83;46.64;48.36;50;51.57;53.07
1;63;51.72;2.36;1;51.4751;0.0512;45.78;47.78;49.68;51.48;53.19;54.83;56.41
2;72;55.63;2.72;1;54.4923;0.0503;48.57;50.65;52.62;54.49;56.28;57.99;59.63
3;62;58.76;2.6;1;57.3325;0.0494;51.22;53.37;55.4;57.33;59.18;60.95;62.65
4;52;61.56;2.42;1;59.9385;0.0486;53.66;55.87;57.95;59.94;61.83;63.65;65.39
5;52;63.47;2.93;1;62.2824;0.0477;55.87;58.13;60.26;62.28;64.22;66.07;67.85
6;49;65.13;2.85;1;64.3625;0.0469;57.84;60.14;62.3;64.36;66.32;68.2;70
7;50;66.52;2.7;1;66.1963;0.0462;59.59;61.92;64.11;66.2;68.18;70.07;71.89
8;36;67.23;2.53;1;67.8131;0.0454;61.14;63.5;65.71;67.81;69.81;71.71;73.53
9;41;68.87;3.13;1;69.2463;0.0448;62.52;64.9;67.13;69.25;71.25;73.16;74.98
10;40;69.92;2.71;1;70.5255;0.0442;63.75;66.15;68.4;70.53;72.53;74.44;76.27
11;45;71.61;3.16;1;71.6764;0.0436;64.86;67.29;69.55;71.68;73.69;75.6;77.42
12;32;72.72;2.69;1;72.7202;0.0431;65.87;68.31;70.59;72.72;74.73;76.64;78.46
13;36;73.28;3.24;1;73.6773;0.0427;66.8;69.26;71.54;73.68;75.69;77.6;79.41
14;30;73.72;3.2;1;74.5679;0.0423;67.66;70.13;72.42;74.57;76.58;78.49;80.3
15;26;74.73;3.14;1;75.4096;0.042;68.47;70.96;73.26;75.41;77.43;79.33;81.14
16;28;75.4;3.45;1;76.2156;0.0417;69.25;71.75;74.06;76.22;78.24;80.14;81.94
17;29;76.51;3.32;1;76.9954;0.0414;69.99;72.51;74.83;77;79.02;80.92;82.73
18;25;76.49;3.67;1;77.7545;0.0412;70.71;73.25;75.59;77.75;79.78;81.69;83.49
19;34;78.99;2.91;1;78.4954;0.041;71.41;73.97;76.32;78.5;80.53;82.44;84.24
20;21;80.02;3.15;1;79.2178;0.0408;72.09;74.67;77.03;79.22;81.26;83.17;84.97
21;26;78.78;2.62;1;79.9246;0.0406;72.74;75.35;77.73;79.92;81.97;83.89;85.69
22;20;80.55;3.98;1;80.6218;0.0405;73.38;76.01;78.41;80.62;82.68;84.6;86.4
23;24;81.18;3.52;1;81.3113;0.0405;74.01;76.67;79.09;81.31;83.37;85.3;87.11
24;24;82.42;3.3;1;81.9955;0.0404;74.63;77.32;79.76;82;84.07;86;87.82
25;27;82.37;3.1;1;82.6779;0.0404;75.23;77.96;80.42;82.68;84.76;86.71;88.53
26;23;82.96;3.4;1;83.3639;0.0404;75.84;78.6;81.09;83.36;85.46;87.42;89.24
27;21;83;2.93;1;84.0585;0.0405;76.44;79.24;81.76;84.06;86.17;88.14;89.97
28;20;84.71;3.42;1;84.7649;0.0406;77.05;79.89;82.44;84.76;86.9;88.88;90.72
29;15;83.72;2.73;1;85.4828;0.0407;77.66;80.55;83.14;85.48;87.63;89.63;91.48
30;20;86.63;3.16;1;86.2111;0.0408;78.27;81.22;83.84;86.21;88.38;90.39;92.26
31;17;86.56;4.04;1;86.9451;0.041;78.88;81.88;84.54;86.94;89.14;91.16;93.04
32;15;88.49;2.89;1;87.6808;0.0412;79.49;82.54;85.25;87.68;89.9;91.93;93.82
33;14;89.11;4.54;1;88.4153;0.0414;80.08;83.2;85.95;88.42;90.65;92.71;94.61
34;22;88.3;4.07;1;89.1481;0.0416;80.67;83.86;86.65;89.15;91.41;93.48;95.39
35;16;88.24;4.15;1;89.8813;0.0418;81.26;84.52;87.35;89.88;92.16;94.25;96.18
36;11;91.32;3.95;1;90.6163;0.042;81.85;85.17;88.06;90.62;92.92;95.02;96.96
