Idade(anos),n,Média,DP,L,M,S,3%,10%,25%,50%,75%,90%,97%
3,86,"91,75","4,09",1,"91,8818","0,0470","83,25","86,13","89,00","91,88","94,76","97,64","100,51"
4,79,"97,64","5,09",1,"97,4835","0,0472","88,28","91,35","94,41","97,48","100,55","103,62","106,69"
5,71,"103,40","4,77",1,"103,0147","0,0474","93,25","96,50","99,76","103,01","106,27","109,52","112,78"
6,64,"108,34","5,07",1,"108,4850","0,0475","98,17","101,61","105,05","108,49","111,92","115,36","118,80"
7,71,"113,70","5,17",1,"113,9901","0,0477","103,12","106,74","110,37","113,99","117,61","121,24","124,86"
8,76,"119,96","5,66",1,"119,5836","0,0478","108,15","111,96","115,77","119,58","123,39","127,21","131,02"
9,71,"124,79","5,80",1,"125,2381","0,0479","113,25","117,25","121,24","125,24","129,23","133,23","137,23"
10,76,"129,89","5,89",1,"130,9266","0,0477","118,43","122,59","126,76","130,93","135,09","139,26","143,43"
11,76,"135,16","7,42",1,"136,4990","0,0473","123,59","127,89","132,20","136,50","140,80","145,11","149,41"
12,69,"142,50","6,82",1,"141,6134","0,0465","128,45","132,84","137,23","141,61","146,00","150,39","154,78"
13,66,"148,07","7,15",1,"145,8845","0,0455","132,62","137,04","141,46","145,88","150,31","154,73","159,15"
14,67,"151,00","6,29",1,"149,1745","0,0444","135,91","140,33","144,75","149,17","153,59","158,01","162,43"
15,49,"151,84","5,64",1,"151,5922","0,0436","138,37","142,78","147,19","151,59","156,00","160,40","164,81"
16,39,"155,68","5,85",1,"153,3270","0,0429","140,16","144,55","148,94","153,33","157,72","162,11","166,50"
17,41,"154,08","7,08",1,"154,5528","0,0425","141,42","145,80","150,18","154,55","158,93","163,31","167,68"
18,29,"152,77","5,27",1,"155,4531","0,0421","142,35","146,72","151,09","155,45","159,82","164,19","168,55"
19,22,"152,41","5,72",1,"156,1901","0,0418","143,12","147,48","151,83","156,19","160,55","164,91","169,26"
20,17,"153,74","4,39",1,"156,8714","0,0416","143,83","148,17","152,52","156,87","161,22","165,57","169,92"
