Idade(anos),n,Média,DP,L,M,S,5%,10%,25%,50%,75%,85%,90%,95%
2,81,"16,06","2,00","-0,0422","15,8660","0,1166","13,11","13,67","14,67","15,87","17,17","17,91","18,43","19,23"
3,76,"16,19","1,80","-0,0230","16,1631","0,1262","13,14","13,75","14,85","16,16","17,60","18,42","19,01","19,90"
4,73,"16,67","2,22","0,0019","16,5153","0,1360","13,20","13,87","15,07","16,52","18,10","19,01","19,66","20,65"
5,62,"17,12","2,57","0,0362","16,9481","0,1459","13,32","14,05","15,36","16,95","18,70","19,71","20,42","21,52"
6,53,"17,59","2,93","0,0761","17,4851","0,1557","13,50","14,30","15,74","17,49","19,41","20,53","21,31","22,53"
7,54,"18,44","3,12","0,1135","18,1450","0,1649","13,78","14,65","16,22","18,14","20,27","21,49","22,36","23,70"
8,60,"19,32","3,88","0,1491","18,9270","0,1734","14,14","15,10","16,82","18,93","21,25","22,60","23,55","25,03"
9,61,"19,57","3,18","0,1836","19,8402","0,1810","14,61","15,65","17,54","19,84","22,39","23,86","24,90","26,51"
10,45,"20,75","4,12","0,2129","20,8954","0,1878","15,18","16,32","18,38","20,90","23,68","25,29","26,42","28,18"
11,46,"22,44","4,31","0,2358","22,0355","0,1937","15,82","17,06","19,30","22,04","25,06","26,81","28,05","29,96"
12,46,"24,04","5,23","0,2525","23,1548","0,1987","16,46","17,80","20,20","23,15","26,42","28,30","29,64","31,70"
13,47,"25,51","4,96","0,2652","24,1529","0,2029","17,03","18,45","21,01","24,15","27,63","29,64","31,06","33,26"
14,44,"25,75","4,73","0,2762","24,9738","0,2064","17,48","18,97","21,67","24,97","28,63","30,74","32,24","34,55"
15,35,"26,56","5,78","0,2878","25,6252","0,2093","17,83","19,38","22,19","25,63","29,43","31,63","33,18","35,58"
16,37,"26,40","5,92","0,3008","26,1495","0,2118","18,10","19,70","22,60","26,15","30,07","32,34","33,94","36,42"
17,23,"25,70","5,73","0,3136","26,6092","0,2137","18,33","19,98","22,96","26,61","30,64","32,96","34,61","37,14"
18,20,"25,94","5,11","0,3252","27,0592","0,2154","18,57","20,26","23,32","27,06","31,19","33,57","35,25","37,84"
