Idade(meses);n;Média;DP;L;M;S;3%;10%;25%;50%;75%;90%;97%
0;91;32.86;1.64;1;32.8031;0.0506;30.50;31.16;31.90;32.80;33.83;34.88;36.07
1;40;35.14;1.57;1;35.1973;0.0490;32.08;33.16;34.16;35.20;36.16;36.97;37.72
2;45;36.56;1.43;1;36.6744;0.0474;33.76;34.75;35.69;36.67;37.60;38.39;39.14
3;40;37.90;1.44;1;37.8724;0.0458;35.09;36.03;36.93;37.87;38.77;39.54;40.28
4;39;38.63;1.49;1;38.8919;0.0443;36.23;37.11;37.98;38.89;39.77;40.53;41.25
5;34;39.62;1.24;1;39.7794;0.0428;37.20;38.05;38.89;39.78;40.64;41.39;42.11
6;43;40.56;1.27;1;40.5427;0.0414;38.03;38.86;39.67;40.54;41.39;42.14;42.86
7;40;41.13;1.24;1;41.1900;0.0400;38.73;39.53;40.33;41.19;42.03;42.77;43.49
8;46;41.86;1.36;1;41.7331;0.0386;39.31;40.10;40.88;41.73;42.57;43.31;44.02
9;36;42.17;1.42;1;42.1899;0.0373;39.80;40.57;41.35;42.19;43.02;43.75;44.47
10;26;42.44;1.01;1;42.5777;0.0361;40.21;40.97;41.74;42.58;43.40;44.13;44.84
11;26;43.32;1.09;1;42.9096;0.0350;40.55;41.31;42.08;42.91;43.73;44.46;45.17
12;18;43.46;1.26;1;43.1979;0.0339;40.85;41.61;42.37;43.20;44.01;44.74;45.44
13;16;43.53;1.32;1;43.4534;0.0329;41.11;41.87;42.62;43.45;44.27;44.99;45.69
14;14;43.62;1.74;1;43.6836;0.0320;41.34;42.10;42.86;43.68;44.50;45.21;45.91
15;20;44.22;1.18;1;43.8941;0.0311;41.54;42.31;43.07;43.89;44.70;45.42;46.12
16;17;43.46;0.90;1;44.0888;0.0304;41.73;42.50;43.26;44.09;44.90;45.61;46.31
17;14;43.81;0.96;1;44.2702;0.0297;41.91;42.68;43.44;44.27;45.08;45.79;46.48
18;20;44.60;1.13;1;44.4406;0.0290;42.07;42.84;43.61;44.44;45.25;45.96;46.65
19;8;44.00;0.79;1;44.6014;0.0285;42.22;43.00;43.77;44.60;45.41;46.12;46.81
20;10;44.25;1.16;1;44.7542;0.0280;42.36;43.15;43.92;44.75;45.56;46.27;46.96
21;9;44.56;1.04;1;44.8999;0.0275;42.50;43.29;44.06;44.90;45.71;46.42;47.10
22;9;44.94;1.16;1;45.0391;0.0271;42.63;43.42;44.20;45.04;45.85;46.56;47.24
23;7;45.17;0.76;1;45.1725;0.0268;42.75;43.55;44.33;45.17;45.98;46.69;47.37
24;9;44.60;0.85;1;45.3007;0.0265;42.86;43.67;44.46;45.30;46.11;46.82;47.50
