Idade(anos),n,Média,DP,L,M,S,3%,10%,25%,50%,75%,90%,97%
3,81,"13,00","2,04",1,"12,9391","0,1608","8,78","10,17","11,55","12,94","14,33","15,71","17,10"
4,77,"15,26","2,52",1,"15,1835","0,1700","10,02","11,74","13,46","15,18","16,90","18,62","20,34"
5,64,"17,41","3,14",1,"17,5831","0,1790","11,29","13,39","15,48","17,58","19,68","21,78","23,88"
6,55,"20,13","4,31",1,"20,3278","0,1877","12,69","15,24","17,78","20,33","22,87","25,42","27,96"
7,56,"23,46","4,32",1,"23,5046","0,1959","14,30","17,37","20,43","23,50","26,57","29,64","32,71"
8,59,"26,77","5,33",1,"27,1552","0,2035","16,10","19,79","23,47","27,16","30,84","34,52","38,21"
9,65,"30,88","6,56",1,"31,2536","0,2104","18,10","22,49","26,87","31,25","35,64","40,02","44,41"
10,51,"34,96","8,07",1,"35,6562","0,2165","20,22","25,36","30,51","35,66","40,80","45,95","51,10"
11,51,"40,58","9,45",1,"40,1252","0,2215","22,35","28,27","34,20","40,13","46,05","51,98","57,90"
12,46,"44,65","10,53",1,"44,3711","0,2253","24,37","31,04","37,70","44,37","51,04","57,70","64,37"
13,53,"52,40","11,72",1,"48,1414","0,2279","26,19","33,51","40,83","48,14","55,46","62,77","70,09"
14,46,"52,28","10,26",1,"51,2706","0,2294","27,75","35,59","43,43","51,27","59,11","66,95","74,80"
15,37,"54,15","11,95",1,"53,8186","0,2300","29,06","37,31","45,56","53,82","62,07","70,33","78,58"
16,39,"55,92","13,80",1,"55,9115","0,2300","30,19","38,77","47,34","55,91","64,48","73,06","81,63"
17,26,"54,72","13,77",1,"57,6818","0,2293","31,23","40,05","48,86","57,68","66,50","75,32","84,14"
18,22,"57,47","12,88",1,"59,2611","0,2282","32,21","41,23","50,25","59,26","68,28","77,29","86,31"
19,17,"61,75","13,01",1,"60,7367","0,2268","33,18","42,37","51,55","60,74","69,92","79,11","88,29"
20,15,"58,57","11,57",1,"62,1614","0,2253","34,15","43,48","52,82","62,16","71,50","80,84","90,18"
