Idade(meses),n,Média,DP,L,M,S,3%,10%,25%,50%,75%,90%,97%
0,191,"2,85","0,54",1,"3,0400","0,1895","1,89","2,27","2,66","3,04","3,42","3,81","4,19"
1,68,"3,70","0,63",1,"3,7181","0,1866","2,33","2,79","3,26","3,72","4,18","4,64","5,11"
2,76,"4,67","0,81",1,"4,3819","0,1838","2,77","3,31","3,85","4,38","4,92","5,46","5,99"
3,67,"5,37","0,95",1,"5,0175","0,1809","3,20","3,81","4,41","5,02","5,62","6,23","6,83"
4,59,"6,15","0,97",1,"5,6143","0,1780","3,62","4,28","4,95","5,61","6,28","6,95","7,61"
5,59,"6,58","1,04",1,"6,1660","0,1751","4,01","4,73","5,45","6,17","6,89","7,61","8,33"
6,51,"7,11","1,17",1,"6,6701","0,1722","4,37","5,14","5,90","6,67","7,44","8,20","8,97"
7,54,"7,33","1,10",1,"7,1270","0,1693","4,71","5,52","6,32","7,13","7,93","8,74","9,54"
8,39,"7,57","1,09",1,"7,5395","0,1666","5,03","5,87","6,70","7,54","8,38","9,21","10,05"
9,42,"8,09","1,26",1,"7,9109","0,1638","5,32","6,18","7,05","7,91","8,78","9,64","10,50"
10,44,"8,25","1,30",1,"8,2451","0,1613","5,59","6,47","7,36","8,25","9,13","10,02","10,90"
11,47,"8,72","1,39",1,"8,5459","0,1588","5,83","6,74","7,64","8,55","9,45","10,36","11,26"
12,34,"8,66","1,14",1,"8,8176","0,1564","6,06","6,98","7,90","8,82","9,74","10,66","11,58"
13,38,"9,00","1,16",1,"9,0648","0,1542","6,27","7,20","8,13","9,06","10,00","10,93","11,86"
14,34,"9,18","1,42",1,"9,2915","0,1522","6,46","7,41","8,35","9,29","10,23","11,18","12,12"
15,28,"9,12","1,04",1,"9,5017","0,1503","6,65","7,60","8,55","9,50","10,45","11,41","12,36"
16,31,"9,56","1,69",1,"9,6989","0,1485","6,82","7,78","8,74","9,70","10,66","11,62","12,58"
17,30,"9,50","1,76",1,"9,8860","0,1468","6,98","7,95","8,92","9,89","10,85","11,82","12,79"
18,26,"9,80","1,66",1,"10,0656","0,1451","7,14","8,12","9,09","10,07","11,04","12,01","12,99"
19,35,"10,03","1,53",1,"10,2398","0,1435","7,30","8,28","9,26","10,24","11,22","12,20","13,18"
20,20,"10,56","1,14",1,"10,4105","0,1421","7,45","8,44","9,42","10,41","11,40","12,38","13,37"
21,29,"10,41","1,38",1,"10,5793","0,1407","7,60","8,59","9,59","10,58","11,57","12,56","13,56"
22,21,"10,64","1,38",1,"10,7477","0,1394","7,75","8,75","9,75","10,75","11,75","12,75","13,74"
23,26,"10,41","1,76",1,"10,9167","0,1382","7,90","8,91","9,91","10,92","11,92","12,93","13,93"
24,24,"11,07","1,38",1,"11,0875","0,1371","8,05","9,06","10,07","11,09","12,10","13,11","14,13"
25,28,"11,33","1,48",1,"11,2605","0,1361","8,20","9,22","10,24","11,26","12,28","13,30","14,33"
26,26,"10,98","1,32",1,"11,4360","0,1352","8,34","9,37","10,41","11,44","12,47","13,50","14,53"
27,22,"11,48","1,52",1,"11,6145","0,1343","8,49","9,53","10,57","11,61","12,65","13,69","14,74"
28,22,"11,96","1,63",1,"11,7956","0,1336","8,64","9,69","10,75","11,80","12,85","13,90","14,95"
29,17,"11,66","1,44",1,"11,9791","0,1329","8,79","9,86","10,92","11,98","13,04","14,10","15,16"
30,21,"12,50","1,36",1,"12,1646","0,1323","8,95","10,02","11,09","12,16","13,24","14,31","15,38"
31,20,"12,15","2,07",1,"12,3516","0,1317","9,10","10,18","11,27","12,35","13,44","14,52","15,60"
32,17,"12,74","1,73",1,"12,5399","0,1311","9,25","10,35","11,44","12,54","13,64","14,73","15,83"
33,16,"12,54","1,92",1,"12,7291","0,1305","9,41","10,51","11,62","12,73","13,84","14,94","16,05"
34,25,"12,89","2,02",1,"12,9190","0,1299","9,56","10,68","11,80","12,92","14,04","15,16","16,28"
35,17,"13,12","1,57",1,"13,1094","0,1293","9,72","10,85","11,98","13,11","14,24","15,37","16,50"
36,13,"13,78","1,42",1,"13,3000","0,1287","9,88","11,02","12,16","13,30","14,44","15,58","16,72"
