Idade(anos),n,Média,DP,L,M,S,3%,10%,25%,50%,75%,90%,97%
3,96,"14,00","2,05",1,"13,8316","0,1587","9,44","10,90","12,37","13,83","15,29","16,76","18,22"
4,82,"15,85","2,45",1,"15,9929","0,1738","10,43","12,29","14,14","15,99","17,85","19,70","21,55"
5,79,"18,66","3,40",1,"18,4119","0,1886","11,47","13,78","16,10","18,41","20,73","23,04","25,36"
6,68,"20,78","4,52",1,"21,1415","0,2024","12,58","15,44","18,29","21,14","23,99","26,85","29,70"
7,75,"23,84","5,49",1,"24,2791","0,2144","13,87","17,34","20,81","24,28","27,75","31,22","34,69"
8,80,"27,50","6,99",1,"27,8473","0,2241","15,37","19,53","23,69","27,85","32,01","36,17","40,33"
9,74,"31,62","8,70",1,"31,7670","0,2309","17,09","21,98","26,88","31,77","36,66","41,55","46,44"
10,80,"34,91","9,65",1,"35,9537","0,2348","19,07","24,70","30,33","35,95","41,58","47,21","52,84"
11,80,"38,29","9,14",1,"40,3736","0,2360","21,32","27,67","34,02","40,37","46,73","53,08","59,43"
12,71,"46,23","9,68",1,"44,9233","0,2350","23,80","30,84","37,88","44,92","51,96","59,00","66,04"
13,66,"51,31","10,44",1,"49,3325","0,2326","26,38","34,03","41,68","49,33","56,98","64,64","72,29"
14,69,"55,76","11,96",1,"53,3572","0,2292","28,90","37,05","45,20","53,36","61,51","69,66","77,82"
15,51,"58,54","10,95",1,"56,8592","0,2250","31,27","39,80","48,33","56,86","65,39","73,92","82,45"
16,42,"62,34","13,17",1,"59,8189","0,2204","33,45","42,24","51,03","59,82","68,61","77,40","86,19"
17,42,"63,27","14,25",1,"62,2793","0,2153","35,46","44,40","53,34","62,28","71,22","80,16","89,10"
18,32,"65,22","14,74",1,"64,3507","0,2099","37,33","46,34","55,34","64,35","73,36","82,36","91,37"
19,25,"59,82","7,97",1,"66,1886","0,2043","39,14","48,16","57,17","66,19","75,20","84,22","93,23"
20,19,"64,37","13,09",1,"67,9531","0,1986","40,96","49,96","58,95","67,95","76,95","85,95","94,95"
