Week	L	M	S	SD	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	1	34.4618	0.03686	1.2703	30.7	31.9	33.2	34.5	35.7	37.0	38.3
1	1	35.1634	0.03472	1.2209	31.5	32.7	33.9	35.2	36.4	37.6	38.8
2	1	35.8649	0.03258	1.1685	32.4	33.5	34.7	35.9	37.0	38.2	39.4
3	1	36.5216	0.03197	1.1676	33.0	34.2	35.4	36.5	37.7	38.9	40.0
4	1	37.0926	0.03148	1.1677	33.6	34.8	35.9	37.1	38.3	39.4	40.6
5	1	37.6010	0.03107	1.1683	34.1	35.3	36.4	37.6	38.8	39.9	41.1
6	1	38.0609	0.03072	1.1692	34.6	35.7	36.9	38.1	39.2	40.4	41.6
7	1	38.4824	0.03041	1.1703	35.0	36.1	37.3	38.5	39.7	40.8	42.0
8	1	38.8724	0.03014	1.1716	35.4	36.5	37.7	38.9	40.0	41.2	42.4
9	1	39.2368	0.02990	1.1732	35.7	36.9	38.1	39.2	40.4	41.6	42.8
10	1	39.5797	0.02969	1.1751	36.1	37.2	38.4	39.6	40.8	41.9	43.1
11	1	39.9033	0.02950	1.1772	36.4	37.5	38.7	39.9	41.1	42.3	43.4
12	1	40.2096	0.02933	1.1794	36.7	37.9	39.0	40.2	41.4	42.6	43.7
13	1	40.5008	0.02918	1.1818	37.0	38.1	39.3	40.5	41.7	42.9	44.0
