Week	L	M	S	SD	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3
0	1	33.8787	0.03496	1.1844	30.3	31.5	32.7	33.9	35.1	36.2	37.4
1	1	34.5529	0.03374	1.1658	31.1	32.2	33.4	34.6	35.7	36.9	38.1
2	1	35.2272	0.03251	1.1452	31.8	32.9	34.1	35.2	36.4	37.5	38.7
3	1	35.8430	0.03231	1.1581	32.4	33.5	34.7	35.8	37.0	38.2	39.3
4	1	36.3761	0.03215	1.1695	32.9	34.0	35.2	36.4	37.5	38.7	39.9
5	1	36.8472	0.03202	1.1799	33.3	34.5	35.7	36.8	38.0	39.2	40.4
6	1	37.2711	0.03191	1.1893	33.7	34.9	36.1	37.3	38.5	39.6	40.8
7	1	37.6584	0.03182	1.1983	34.1	35.3	36.5	37.7	38.9	40.1	41.3
8	1	38.0167	0.03173	1.2063	34.4	35.6	36.8	38.0	39.2	40.4	41.6
9	1	38.3516	0.03166	1.2142	34.7	35.9	37.1	38.4	39.6	40.8	42.0
10	1	38.6673	0.03158	1.2211	35.0	36.2	37.4	38.7	39.9	41.1	42.3
11	1	38.9661	0.03152	1.2282	35.3	36.5	37.7	39.0	40.2	41.4	42.7
12	1	39.2501	0.03146	1.2348	35.5	36.8	38.0	39.3	40.5	41.7	43.0
13	1	39.5210	0.03140	1.2410	35.8	37.0	38.3	39.5	40.8	42.0	43.2
