Week;L;M;S;SD;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
0;1;34.4618;0.03686;1.27026;30.5;31.5;32.1;32.4;32.8;33.1;33.6;34.5;35.3;35.8;36.1;36.6;36.9;37.4;38.4
1;1;35.1634;0.03472;1.22087;31.4;32.3;32.9;33.2;33.6;33.9;34.3;35.2;36;36.4;36.7;37.2;37.5;38;38.9
2;1;35.8649;0.03258;1.16848;32.3;33.1;33.7;33.9;34.4;34.7;35.1;35.9;36.7;37.1;37.4;37.8;38.1;38.6;39.5
3;1;36.5216;0.03197;1.1676;32.9;33.8;34.3;34.6;35;35.3;35.7;36.5;37.3;37.7;38;38.4;38.7;39.2;40.1
4;1;37.0926;0.03148;1.16768;33.5;34.4;34.9;35.2;35.6;35.9;36.3;37.1;37.9;38.3;38.6;39;39.3;39.8;40.7
5;1;37.601;0.03107;1.16826;34;34.9;35.4;35.7;36.1;36.4;36.8;37.6;38.4;38.8;39.1;39.5;39.8;40.3;41.2
6;1;38.0609;0.03072;1.16923;34.4;35.3;35.9;36.1;36.6;36.8;37.3;38.1;38.8;39.3;39.6;40;40.3;40.8;41.7
7;1;38.4824;0.03041;1.17025;34.9;35.8;36.3;36.6;37;37.3;37.7;38.5;39.3;39.7;40;40.4;40.7;41.2;42.1
8;1;38.8724;0.03014;1.17161;35.3;36.1;36.7;36.9;37.4;37.7;38.1;38.9;39.7;40.1;40.4;40.8;41.1;41.6;42.5
9;1;39.2368;0.0299;1.17318;35.6;36.5;37;37.3;37.7;38;38.4;39.2;40;40.5;40.7;41.2;41.4;42;42.9
10;1;39.5797;0.02969;1.17512;35.9;36.8;37.4;37.6;38.1;38.4;38.8;39.6;40.4;40.8;41.1;41.5;41.8;42.3;43.2
11;1;39.9033;0.0295;1.17715;36.3;37.2;37.7;38;38.4;38.7;39.1;39.9;40.7;41.1;41.4;41.8;42.1;42.6;43.5
12;1;40.2096;0.02933;1.17935;36.6;37.5;38;38.3;38.7;39;39.4;40.2;41;41.4;41.7;42.1;42.4;43;43.9
13;1;40.5008;0.02918;1.18181;36.8;37.8;38.3;38.6;39;39.3;39.7;40.5;41.3;41.7;42;42.4;42.7;43.3;44.2
