Week	L	M	S	SD	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
0	1	33.8787	0.03496	1.1844	30.2	31.1	31.7	31.9	32.4	32.7	33.1	33.9	34.7	35.1	35.4	35.8	36.1	36.6	37.5
1	1	34.5529	0.03374	1.16581	31	31.8	32.4	32.6	33.1	33.3	33.8	34.6	35.3	35.8	36	36.5	36.7	37.3	38.2
2	1	35.2272	0.03251	1.14524	31.7	32.6	33.1	33.3	33.8	34	34.5	35.2	36	36.4	36.7	37.1	37.4	37.9	38.8
3	1	35.843	0.03231	1.15809	32.3	33.1	33.7	33.9	34.4	34.6	35.1	35.8	36.6	37	37.3	37.7	38	38.5	39.4
4	1	36.3761	0.03215	1.16949	32.8	33.7	34.2	34.5	34.9	35.2	35.6	36.4	37.2	37.6	37.9	38.3	38.6	39.1	40
5	1	36.8472	0.03202	1.17985	33.2	34.1	34.6	34.9	35.3	35.6	36.1	36.8	37.6	38.1	38.4	38.8	39.1	39.6	40.5
6	1	37.2711	0.03191	1.18932	33.6	34.5	35	35.3	35.7	36	36.5	37.3	38.1	38.5	38.8	39.2	39.5	40	40.9
7	1	37.6584	0.03182	1.19829	34	34.9	35.4	35.7	36.1	36.4	36.9	37.7	38.5	38.9	39.2	39.6	39.9	40.4	41.4
8	1	38.0167	0.03173	1.20627	34.3	35.2	35.7	36	36.5	36.8	37.2	38	38.8	39.3	39.6	40	40.3	40.8	41.7
9	1	38.3516	0.03166	1.21421	34.6	35.5	36.1	36.4	36.8	37.1	37.5	38.4	39.2	39.6	39.9	40.3	40.6	41.2	42.1
10	1	38.6673	0.03158	1.22111	34.9	35.8	36.4	36.7	37.1	37.4	37.8	38.7	39.5	39.9	40.2	40.7	41	41.5	42.4
11	1	38.9661	0.03152	1.22821	35.2	36.1	36.7	36.9	37.4	37.7	38.1	39	39.8	40.2	40.5	41	41.3	41.8	42.8
12	1	39.2501	0.03146	1.23481	35.4	36.4	36.9	37.2	37.7	38	38.4	39.3	40.1	40.5	40.8	41.3	41.6	42.1	43.1
13	1	39.521	0.0314	1.24096	35.7	36.6	37.2	37.5	37.9	38.2	38.7	39.5	40.4	40.8	41.1	41.6	41.9	42.4	43.4
