Length	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
45	-0.3521	2.441	0.09182	1.9	2	2.1	2.1	2.2	2.2	2.3	2.4	2.6	2.7	2.8	2.9	2.9	3	3.3
45.5	-0.3521	2.5244	0.09153	1.9	2.1	2.1	2.2	2.3	2.3	2.4	2.5	2.7	2.8	2.8	2.9	3	3.1	3.4
46	-0.3521	2.6077	0.09124	2	2.1	2.2	2.3	2.3	2.4	2.5	2.6	2.8	2.9	2.9	3	3.1	3.3	3.5
46.5	-0.3521	2.6913	0.09094	2.1	2.2	2.3	2.3	2.4	2.5	2.5	2.7	2.9	3	3	3.1	3.2	3.4	3.6
47	-0.3521	2.7755	0.09065	2.1	2.3	2.4	2.4	2.5	2.5	2.6	2.8	3	3.1	3.1	3.2	3.3	3.5	3.7
47.5	-0.3521	2.8609	0.09036	2.2	2.3	2.4	2.5	2.6	2.6	2.7	2.9	3	3.1	3.2	3.3	3.4	3.6	3.8
48	-0.3521	2.948	0.09007	2.3	2.4	2.5	2.6	2.6	2.7	2.8	2.9	3.1	3.2	3.3	3.4	3.5	3.7	4
48.5	-0.3521	3.0377	0.08977	2.3	2.5	2.6	2.6	2.7	2.8	2.9	3	3.2	3.3	3.4	3.5	3.6	3.8	4.1
49	-0.3521	3.1308	0.08948	2.4	2.6	2.7	2.7	2.8	2.9	2.9	3.1	3.3	3.4	3.5	3.6	3.7	3.9	4.2
49.5	-0.3521	3.2276	0.08919	2.5	2.6	2.7	2.8	2.9	2.9	3	3.2	3.4	3.5	3.6	3.8	3.8	4	4.3
50	-0.3521	3.3278	0.0889	2.6	2.7	2.8	2.9	3	3	3.1	3.3	3.5	3.7	3.7	3.9	4	4.1	4.4
50.5	-0.3521	3.4311	0.08861	2.6	2.8	2.9	3	3.1	3.1	3.2	3.4	3.6	3.8	3.9	4	4.1	4.2	4.6
51	-0.3521	3.5376	0.08831	2.7	2.9	3	3.1	3.2	3.2	3.3	3.5	3.8	3.9	4	4.1	4.2	4.4	4.7
51.5	-0.3521	3.6477	0.08801	2.8	3	3.1	3.2	3.3	3.3	3.4	3.6	3.9	4	4.1	4.2	4.3	4.5	4.9
52	-0.3521	3.762	0.08771	2.9	3.1	3.2	3.3	3.4	3.4	3.5	3.8	4	4.1	4.2	4.4	4.5	4.6	5
52.5	-0.3521	3.8814	0.08741	3	3.2	3.3	3.4	3.5	3.6	3.7	3.9	4.1	4.3	4.4	4.5	4.6	4.8	5.2
53	-0.3521	4.006	0.08711	3.1	3.3	3.4	3.5	3.6	3.7	3.8	4	4.3	4.4	4.5	4.6	4.7	4.9	5.3
53.5	-0.3521	4.1354	0.08681	3.2	3.4	3.5	3.6	3.7	3.8	3.9	4.1	4.4	4.5	4.6	4.8	4.9	5.1	5.5
54	-0.3521	4.2693	0.08651	3.3	3.5	3.6	3.7	3.8	3.9	4	4.3	4.5	4.7	4.8	4.9	5	5.3	5.7
54.5	-0.3521	4.4066	0.08621	3.4	3.6	3.8	3.8	4	4	4.2	4.4	4.7	4.8	4.9	5.1	5.2	5.4	5.8
55	-0.3521	4.5467	0.08592	3.5	3.7	3.9	4	4.1	4.2	4.3	4.5	4.8	5	5.1	5.3	5.4	5.6	6
55.5	-0.3521	4.6892	0.08563	3.6	3.9	4	4.1	4.2	4.3	4.4	4.7	5	5.1	5.2	5.4	5.5	5.8	6.2
56	-0.3521	4.8338	0.08535	3.8	4	4.1	4.2	4.3	4.4	4.6	4.8	5.1	5.3	5.4	5.6	5.7	5.9	6.4
56.5	-0.3521	4.9796	0.08507	3.9	4.1	4.3	4.3	4.5	4.6	4.7	5	5.3	5.4	5.6	5.7	5.9	6.1	6.6
57	-0.3521	5.1259	0.08481	4	4.2	4.4	4.5	4.6	4.7	4.8	5.1	5.4	5.6	5.7	5.9	6	6.3	6.7
57.5	-0.3521	5.2721	0.08455	4.1	4.4	4.5	4.6	4.7	4.8	5	5.3	5.6	5.8	5.9	6.1	6.2	6.5	6.9
58	-0.3521	5.418	0.0843	4.2	4.5	4.6	4.7	4.9	5	5.1	5.4	5.7	5.9	6	6.2	6.4	6.6	7.1
58.5	-0.3521	5.5632	0.08406	4.3	4.6	4.8	4.9	5	5.1	5.3	5.6	5.9	6.1	6.2	6.4	6.5	6.8	7.3
59	-0.3521	5.7074	0.08383	4.5	4.7	4.9	5	5.1	5.2	5.4	5.7	6	6.2	6.4	6.6	6.7	7	7.5
59.5	-0.3521	5.8501	0.08362	4.6	4.8	5	5.1	5.3	5.4	5.5	5.9	6.2	6.4	6.5	6.7	6.9	7.2	7.7
60	-0.3521	5.9907	0.08342	4.7	5	5.1	5.2	5.4	5.5	5.7	6	6.3	6.5	6.7	6.9	7	7.3	7.8
60.5	-0.3521	6.1284	0.08324	4.8	5.1	5.3	5.4	5.5	5.6	5.8	6.1	6.5	6.7	6.8	7.1	7.2	7.5	8
61	-0.3521	6.2632	0.08308	4.9	5.2	5.4	5.5	5.6	5.8	5.9	6.3	6.6	6.8	7	7.2	7.4	7.7	8.2
61.5	-0.3521	6.3954	0.08292	5	5.3	5.5	5.6	5.8	5.9	6.1	6.4	6.8	7	7.1	7.4	7.5	7.8	8.4
62	-0.3521	6.5251	0.08279	5.1	5.4	5.6	5.7	5.9	6	6.2	6.5	6.9	7.1	7.3	7.5	7.7	8	8.5
62.5	-0.3521	6.6527	0.08266	5.2	5.5	5.7	5.8	6	6.1	6.3	6.7	7	7.3	7.4	7.6	7.8	8.1	8.7
63	-0.3521	6.7786	0.08255	5.3	5.6	5.8	5.9	6.1	6.2	6.4	6.8	7.2	7.4	7.6	7.8	8	8.3	8.9
63.5	-0.3521	6.9028	0.08245	5.4	5.7	5.9	6	6.2	6.3	6.5	6.9	7.3	7.5	7.7	7.9	8.1	8.4	9
64	-0.3521	7.0255	0.08236	5.5	5.8	6	6.2	6.3	6.5	6.6	7	7.4	7.7	7.8	8.1	8.2	8.6	9.2
64.5	-0.3521	7.1467	0.08229	5.6	5.9	6.1	6.3	6.4	6.6	6.8	7.1	7.6	7.8	8	8.2	8.4	8.7	9.3
65	-0.3521	7.2666	0.08223	5.7	6	6.3	6.4	6.6	6.7	6.9	7.3	7.7	7.9	8.1	8.3	8.5	8.9	9.5
65.5	-0.3521	7.3854	0.08218	5.8	6.1	6.4	6.5	6.7	6.8	7	7.4	7.8	8.1	8.2	8.5	8.7	9	9.6
66	-0.3521	7.5034	0.08215	5.9	6.2	6.5	6.6	6.8	6.9	7.1	7.5	7.9	8.2	8.4	8.6	8.8	9.1	9.8
66.5	-0.3521	7.6206	0.08213	6	6.3	6.6	6.7	6.9	7	7.2	7.6	8.1	8.3	8.5	8.8	8.9	9.3	9.9
67	-0.3521	7.737	0.08212	6.1	6.4	6.7	6.8	7	7.1	7.3	7.7	8.2	8.4	8.6	8.9	9.1	9.4	10.1
67.5	-0.3521	7.8526	0.08212	6.2	6.5	6.8	6.9	7.1	7.2	7.4	7.9	8.3	8.6	8.7	9	9.2	9.6	10.2
68	-0.3521	7.9674	0.08214	6.2	6.6	6.9	7	7.2	7.3	7.5	8	8.4	8.7	8.9	9.2	9.3	9.7	10.4
68.5	-0.3521	8.0816	0.08216	6.3	6.7	7	7.1	7.3	7.4	7.7	8.1	8.5	8.8	9	9.3	9.5	9.8	10.5
69	-0.3521	8.1955	0.08219	6.4	6.8	7.1	7.2	7.4	7.5	7.8	8.2	8.7	8.9	9.1	9.4	9.6	10	10.7
69.5	-0.3521	8.3092	0.08224	6.5	6.9	7.1	7.3	7.5	7.6	7.9	8.3	8.8	9.1	9.3	9.5	9.7	10.1	10.8
70	-0.3521	8.4227	0.08229	6.6	7	7.2	7.4	7.6	7.7	8	8.4	8.9	9.2	9.4	9.7	9.9	10.3	11
