Length;L;M;S;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
45;-0.3833;2.4607;0.09029;1.9;2;2.1;2.1;2.2;2.2;2.3;2.5;2.6;2.7;2.8;2.9;2.9;3.1;3.3
45.5;-0.3833;2.5457;0.09033;2;2.1;2.2;2.2;2.3;2.3;2.4;2.5;2.7;2.8;2.9;3;3;3.2;3.4
46;-0.3833;2.6306;0.09037;2;2.1;2.2;2.3;2.3;2.4;2.5;2.6;2.8;2.9;3;3.1;3.1;3.3;3.5
46.5;-0.3833;2.7155;0.0904;2.1;2.2;2.3;2.3;2.4;2.5;2.6;2.7;2.9;3;3.1;3.2;3.2;3.4;3.6
47;-0.3833;2.8007;0.09044;2.1;2.3;2.4;2.4;2.5;2.6;2.6;2.8;3;3.1;3.2;3.3;3.3;3.5;3.8
47.5;-0.3833;2.8867;0.09048;2.2;2.4;2.4;2.5;2.6;2.6;2.7;2.9;3.1;3.2;3.3;3.4;3.4;3.6;3.9
48;-0.3833;2.9741;0.09052;2.3;2.4;2.5;2.6;2.7;2.7;2.8;3;3.2;3.3;3.3;3.5;3.5;3.7;4
48.5;-0.3833;3.0636;0.09056;2.3;2.5;2.6;2.7;2.7;2.8;2.9;3.1;3.3;3.4;3.4;3.6;3.7;3.8;4.1
49;-0.3833;3.156;0.0906;2.4;2.6;2.7;2.7;2.8;2.9;3;3.2;3.4;3.5;3.6;3.7;3.8;3.9;4.2
49.5;-0.3833;3.252;0.09064;2.5;2.7;2.8;2.8;2.9;3;3.1;3.3;3.5;3.6;3.7;3.8;3.9;4.1;4.4
50;-0.3833;3.3518;0.09068;2.6;2.7;2.8;2.9;3;3.1;3.2;3.4;3.6;3.7;3.8;3.9;4;4.2;4.5
50.5;-0.3833;3.4557;0.09072;2.6;2.8;2.9;3;3.1;3.2;3.3;3.5;3.7;3.8;3.9;4;4.1;4.3;4.6
51;-0.3833;3.5636;0.09076;2.7;2.9;3;3.1;3.2;3.2;3.4;3.6;3.8;3.9;4;4.2;4.3;4.4;4.8
51.5;-0.3833;3.6754;0.0908;2.8;3;3.1;3.2;3.3;3.4;3.5;3.7;3.9;4;4.1;4.3;4.4;4.6;4.9
52;-0.3833;3.7911;0.09085;2.9;3.1;3.2;3.3;3.4;3.5;3.6;3.8;4;4.2;4.3;4.4;4.5;4.7;5.1
52.5;-0.3833;3.9105;0.09089;3;3.2;3.3;3.4;3.5;3.6;3.7;3.9;4.2;4.3;4.4;4.6;4.7;4.9;5.3
53;-0.3833;4.0332;0.09093;3.1;3.3;3.4;3.5;3.6;3.7;3.8;4;4.3;4.4;4.5;4.7;4.8;5;5.4
53.5;-0.3833;4.1591;0.09098;3.2;3.4;3.5;3.6;3.7;3.8;3.9;4.2;4.4;4.6;4.7;4.9;5;5.2;5.6
54;-0.3833;4.2875;0.09102;3.3;3.5;3.6;3.7;3.8;3.9;4;4.3;4.6;4.7;4.8;5;5.1;5.3;5.8
54.5;-0.3833;4.4179;0.09106;3.4;3.6;3.7;3.8;3.9;4;4.2;4.4;4.7;4.9;5;5.2;5.3;5.5;6
55;-0.3833;4.5498;0.0911;3.5;3.7;3.9;3.9;4.1;4.1;4.3;4.5;4.8;5;5.1;5.3;5.4;5.7;6.1
55.5;-0.3833;4.6827;0.09114;3.6;3.8;4;4;4.2;4.3;4.4;4.7;5;5.2;5.3;5.5;5.6;5.8;6.3
56;-0.3833;4.8162;0.09118;3.7;3.9;4.1;4.2;4.3;4.4;4.5;4.8;5.1;5.3;5.4;5.6;5.8;6;6.5
56.5;-0.3833;4.95;0.09121;3.8;4;4.2;4.3;4.4;4.5;4.7;5;5.3;5.5;5.6;5.8;5.9;6.2;6.7
57;-0.3833;5.0837;0.09125;3.9;4.1;4.3;4.4;4.5;4.6;4.8;5.1;5.4;5.6;5.7;5.9;6.1;6.3;6.9
57.5;-0.3833;5.2173;0.09128;4;4.3;4.4;4.5;4.7;4.8;4.9;5.2;5.6;5.7;5.9;6.1;6.2;6.5;7
